[2016-08-21 12:51:38.2974] | TRACE | Someone just opened our page
[2016-08-21 18:32:22.6443] | TRACE | Someone just opened our Angular page
[2016-08-21 18:32:24.5007] | TRACE | Someone just opened our Angular page
[2016-08-21 18:32:26.7308] | TRACE | Someone just opened our Angular page
[2016-08-21 18:33:14.7241] | DEBUG | Creating new employee (via API): Id: 0; Name: test; Age: 54; TaxPercent: 3.32
[2016-08-21 18:33:28.9502] | DEBUG | Editing employee (via API): Id: 7; Name: test1; Age: 43; TaxPercent: 3.54
[2016-08-21 18:33:41.6555] | DEBUG | Deleting employee (via API) with ID: 7
[2016-08-21 18:33:57.2765] | DEBUG | Creating new employee (via API): Id: 0; Name: ; Age: 0; TaxPercent: 0
[2016-08-21 18:34:01.8411] | DEBUG | Deleting employee (via API) with ID: 8
[2016-08-21 18:34:06.9005] | DEBUG | Creating new employee (via API): Id: 0; Name: et; Age: 0; TaxPercent: 0
[2016-08-21 18:34:11.4126] | DEBUG | Deleting employee (via API) with ID: 9
[2016-08-21 18:39:50.1711] | TRACE | Someone just opened our page
[2016-08-21 18:40:02.5049] | TRACE | Someone just opened our Angular page
[2016-08-21 18:42:18.8669] | TRACE | Someone just opened our Angular page
[2016-08-21 18:42:24.4828] | TRACE | Someone just opened our Angular page
[2016-08-21 18:49:54.0748] | TRACE | Someone just opened our page
[2016-08-21 18:49:56.3838] | TRACE | Someone just opened our Angular page
[2016-08-21 18:50:02.1192] | TRACE | Someone just opened our Angular page
[2016-08-21 18:50:15.0574] | TRACE | Someone just opened our Angular page
[2016-08-21 18:51:09.7767] | TRACE | Someone just opened our Angular page
[2016-08-21 18:51:44.1926] | TRACE | Someone just opened our Angular page
[2016-08-21 18:52:00.9556] | TRACE | Someone just opened our Angular page
[2016-08-21 18:52:49.3563] | TRACE | Someone just opened our Angular page
[2016-08-21 18:54:36.2552] | TRACE | Someone just opened our Angular page
[2016-08-21 18:55:18.6794] | TRACE | Someone just opened our Angular page
[2016-08-21 18:56:22.2419] | TRACE | Someone just opened our Angular page
[2016-08-21 18:56:42.0353] | DEBUG | Creating new employee (via API): Id: 0; Name: test; Age: 44; TaxPercent: 3.32
[2016-08-21 18:56:52.0331] | DEBUG | Editing employee (via API): Id: 10; Name: test1; Age: 22; TaxPercent: 3.33
[2016-08-21 18:57:00.1909] | DEBUG | Deleting employee (via API) with ID: 10
[2016-08-21 22:03:22.6533] | TRACE | Someone just opened our page
[2016-08-21 22:03:26.9299] | TRACE | Someone just opened our Angular page
[2016-08-21 22:05:07.4237] | TRACE | Someone just opened our Angular page
[2016-08-22 07:38:01.3488] | TRACE | Someone just opened our Angular page
[2016-08-22 07:47:09.5422] | TRACE | Someone just opened our Angular page
[2016-08-22 07:49:21.8274] | TRACE | Someone just opened our Angular page
[2016-08-22 07:49:57.6261] | TRACE | Someone just opened our Angular page
[2016-08-22 07:54:03.4090] | TRACE | Someone just opened our Angular page
[2016-08-22 07:56:35.5453] | TRACE | Someone just opened our Angular page
[2016-08-22 08:04:12.7935] | TRACE | Someone just opened our Angular page
[2016-08-22 08:07:20.4457] | TRACE | Someone just opened our Angular page
[2016-08-22 11:19:42.7917] | TRACE | Someone just opened our Angular page
[2016-08-22 11:20:08.1801] | TRACE | Someone just opened our Angular page
[2016-08-22 18:07:43.0712] | TRACE | Someone just opened our Angular page
[2016-08-22 18:07:52.1263] | TRACE | Someone just opened our Angular page
[2016-08-22 18:08:19.4713] | TRACE | Someone just opened our Angular page
[2016-08-22 18:12:47.0037] | TRACE | Someone just opened our Angular page
[2016-08-22 18:14:12.7321] | TRACE | Someone just opened our Angular page
[2016-08-22 18:26:18.4731] | TRACE | Someone just opened our Angular page
[2016-08-22 18:26:24.4734] | TRACE | Someone just opened our Angular page
[2016-08-22 18:28:45.6347] | TRACE | Someone just opened our Angular page
[2016-08-22 18:31:01.0332] | TRACE | Someone just opened our Angular page
[2016-08-22 18:35:30.2932] | TRACE | Someone just opened our Angular page
[2016-08-22 21:29:46.4529] | TRACE | Someone just opened our Angular page
[2016-08-22 21:36:30.6972] | TRACE | Someone just opened our Angular page
[2016-08-22 21:36:37.3365] | TRACE | Someone just opened our Angular page
[2016-08-22 21:39:31.1390] | TRACE | Someone just opened our Angular page
[2016-08-23 07:44:52.6694] | TRACE | Someone just opened our page
[2016-08-23 07:44:59.6293] | TRACE | Someone just opened our Angular page
[2016-08-23 07:46:19.9288] | TRACE | Someone just opened our Angular page
[2016-08-23 07:46:57.1690] | DEBUG | Creating new employee (via API): Id: 0; Name: test; Age: 34; TaxPercent: 34
[2016-08-23 07:48:46.2722] | TRACE | Someone just opened our Angular page
[2016-08-23 07:50:59.2673] | TRACE | Someone just opened our page
[2016-08-23 07:51:20.6161] | DEBUG | Editing employee: Id: 11; Name: test1; Age: 43; TaxPercent: 34.22
[2016-08-23 07:53:23.5730] | DEBUG | Deleting employee with ID: 11
[2016-08-23 07:53:28.7168] | TRACE | Someone just opened our Angular page
[2016-08-23 07:53:44.2370] | DEBUG | Creating new employee (via API): Id: 0; Name: test; Age: 32; TaxPercent: 6.55
[2016-08-23 07:53:53.6816] | DEBUG | Editing employee (via API): Id: 12; Name: test1; Age: 31; TaxPercent: 6.22
[2016-08-23 07:53:57.4046] | DEBUG | Deleting employee (via API) with ID: 12
[2016-08-23 07:56:07.3220] | TRACE | Someone just opened our page
[2016-08-23 07:56:14.4359] | TRACE | Someone just opened our Angular page
[2016-08-23 07:56:29.1528] | DEBUG | Creating new employee (via API): Id: 0; Name: test1; Age: 34; TaxPercent: 2.22
[2016-08-23 07:56:41.7623] | DEBUG | Editing employee (via API): Id: 13; Name: test; Age: 31; TaxPercent: 2.65
[2016-08-23 07:56:46.4292] | DEBUG | Deleting employee (via API) with ID: 13
[2016-08-23 08:07:58.5418] | TRACE | Someone just opened our page
[2016-08-23 08:08:03.4962] | TRACE | Someone just opened our Angular page
[2016-08-23 17:51:09.5988] | TRACE | Someone just opened our page
[2016-08-23 17:51:16.3063] | TRACE | Someone just opened our Angular page
[2016-08-23 17:55:28.5401] | TRACE | Someone just opened our page
[2016-08-23 17:55:33.3292] | TRACE | Someone just opened our Angular page
[2016-08-23 17:55:46.8211] | DEBUG | Creating new employee (via API): Id: 0; Name: test; Age: 54; TaxPercent: 22
[2016-08-23 17:55:56.7541] | DEBUG | Editing employee (via API): Id: 14; Name: test1; Age: 33; TaxPercent: 2
[2016-08-23 17:55:59.8944] | DEBUG | Deleting employee (via API) with ID: 14
[2016-08-23 18:00:56.0816] | TRACE | Someone just opened our Angular page
[2016-08-23 18:01:38.0304] | TRACE | Someone just opened our Angular page
[2016-08-23 18:28:49.3928] | TRACE | Someone just opened our page
[2016-08-23 18:29:32.0806] | TRACE | Someone just opened our page
[2016-08-23 18:29:43.0565] | TRACE | Someone just opened our page
[2016-08-23 18:29:44.4889] | TRACE | Someone just opened our Angular page
[2016-08-23 18:29:46.8566] | TRACE | Someone just opened our page
[2016-08-23 18:30:15.9413] | TRACE | Someone just opened our page
[2016-08-23 18:31:00.3057] | TRACE | Someone just opened our page
[2016-08-23 18:31:26.9056] | TRACE | Someone just opened our page
[2016-08-23 18:31:43.2445] | TRACE | Someone just opened our page
[2016-08-23 18:32:24.6442] | TRACE | Someone just opened our page
[2016-08-23 18:33:00.0712] | TRACE | Someone just opened our page
[2016-08-23 21:39:40.9541] | TRACE | Someone just opened our Angular page
[2016-08-24 13:54:41.4913] | TRACE | Someone just opened our Angular page
[2016-08-24 13:54:47.0200] | TRACE | Someone just opened our page
[2016-08-24 13:55:15.9445] | TRACE | Someone just opened our Angular page
[2016-08-24 13:55:18.4737] | TRACE | Someone just opened our Angular page
[2016-08-24 13:55:53.9665] | DEBUG | Creating new employee (via API): Id: 0; Name: test; Age: 18; TaxPercent: 2.67
[2016-08-24 13:56:08.9381] | DEBUG | Editing employee (via API): Id: 15; Name: test1; Age: 19; TaxPercent: 2.67
[2016-08-24 13:56:15.7110] | DEBUG | Deleting employee (via API) with ID: 15
[2016-10-12 20:18:15.7827] | TRACE | Someone just opened our page
[2016-10-12 20:18:28.2874] | TRACE | Someone just opened our page
[2016-10-12 20:18:29.6410] | TRACE | Someone just opened our page
[2016-10-12 20:18:47.5256] | TRACE | Someone just opened our Angular page
[2016-10-12 20:19:08.1913] | TRACE | Someone just opened our page
